sku,str,sales,regn,chnl,cntry,item,item_type,subclss,clss,dept,dvsn,cmpy
aa02,S028,102851,florida,warehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S029,98179,florida,web,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S030,103142,florida,wholesale,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S031,95018,florida,catalog,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S032,102459,florida,liqwarehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S033,104863,florida,catalog,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S034,100830,florida,liqwarehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S035,102274,florida,outlets,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S036,104714,florida,stores,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S037,106395,florida,warehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S038,105340,florida,web,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S039,99147,florida,wholesale,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S040,103125,florida,catalog,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S041,99486,california,liqwarehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S042,95508,california,outlets,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S043,102641,california,stores,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S044,105375,california,warehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S045,101498,california,web,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S046,100916,california,wholesale,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S047,101354,california,catalog,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S048,106562,california,liqwarehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S049,99690,california,catalog,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S050,99019,california,liqwarehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S051,101101,california,outlets,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S052,100927,california,stores,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S053,101863,california,warehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S054,99616,california,web,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S055,104141,california,wholesale,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S056,107095,california,catalog,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S057,98052,california,liqwarehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S058,98308,california,outlets,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S059,98093,california,stores,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S060,95972,california,warehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S061,104977,minnesota,web,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S062,98281,minnesota,wholesale,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S063,98659,minnesota,catalog,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S064,99182,minnesota,liqwarehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S065,111111,minnesota,catalog,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S066,106026,minnesota,liqwarehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S067,95195,minnesota,outlets,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S068,97736,minnesota,stores,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S069,106472,minnesota,warehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S070,104360,minnesota,web,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S071,105666,minnesota,wholesale,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S072,105021,minnesota,catalog,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S073,105917,minnesota,liqwarehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S074,96304,minnesota,outlets,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S075,104647,minnesota,stores,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S076,101798,minnesota,warehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S077,100528,minnesota,web,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S078,108900,minnesota,wholesale,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S079,103985,minnesota,catalog,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S080,104902,minnesota,liqwarehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa96,S001,106564,georgia,catalog,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S002,101729,georgia,liqwarehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S003,103407,georgia,outlets,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S004,103085,georgia,stores,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S005,97538,georgia,warehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S006,104094,georgia,web,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S007,106180,georgia,wholesale,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S008,102142,georgia,catalog,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S009,106184,georgia,liqwarehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S010,103286,georgia,outlets,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S011,101578,georgia,stores,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S012,101336,georgia,warehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S013,105639,georgia,web,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S014,105541,georgia,wholesale,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S015,104947,georgia,catalog,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S016,98389,georgia,liqwarehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S017,95739,georgia,catalog,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S018,99737,georgia,liqwarehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S019,100823,georgia,outlets,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S020,99934,georgia,stores,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S021,94736,florida,warehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S022,100008,florida,web,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S023,105712,florida,wholesale,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S024,102543,florida,catalog,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S025,103627,florida,liqwarehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S026,97144,florida,outlets,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S027,105187,florida,stores,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S028,96770,florida,warehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S029,101194,florida,web,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S030,99156,florida,wholesale,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S031,101253,florida,catalog,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S032,102191,florida,liqwarehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S033,108918,florida,catalog,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S034,104205,florida,liqwarehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S035,103123,florida,outlets,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S036,102386,florida,stores,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S037,98404,florida,warehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S038,100546,florida,web,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S039,96971,florida,wholesale,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S040,96938,florida,catalog,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S041,103204,california,liqwarehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S042,103509,california,outlets,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S043,109169,california,stores,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S044,99984,california,warehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S045,103617,california,web,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S046,95892,california,wholesale,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S047,105658,california,catalog,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S048,103543,california,liqwarehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S049,104198,california,catalog,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S050,103396,california,liqwarehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S051,97610,california,outlets,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S052,95541,california,stores,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S053,107988,california,warehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S054,107431,california,web,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S055,106781,california,wholesale,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S056,106019,california,catalog,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S057,103170,california,liqwarehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S058,101839,california,outlets,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S059,95258,california,stores,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S060,95771,california,warehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S061,104651,minnesota,web,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S062,103302,minnesota,wholesale,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S063,100419,minnesota,catalog,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S064,100326,minnesota,liqwarehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S065,102182,minnesota,catalog,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S066,102889,minnesota,liqwarehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S067,102676,minnesota,outlets,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S068,101458,minnesota,stores,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S069,105996,minnesota,warehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S070,105134,minnesota,web,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S071,108346,minnesota,wholesale,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S072,111311,minnesota,catalog,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S073,108045,minnesota,liqwarehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S074,107017,minnesota,outlets,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S075,101552,minnesota,stores,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S076,102647,minnesota,warehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S077,102408,minnesota,web,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S078,108063,minnesota,wholesale,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S079,104015,minnesota,catalog,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
aa96,S080,103031,minnesota,liqwarehouse,US,a3a7,a321,hm258,h47,hb325,grocery,retailer
ac21,S001,107156,georgia,catalog,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S002,110007,georgia,liqwarehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S003,102608,georgia,outlets,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S004,104459,georgia,stores,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S005,97899,georgia,warehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S006,101606,georgia,web,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S007,97143,georgia,wholesale,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S008,103084,georgia,catalog,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S009,98648,georgia,liqwarehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S010,107812,georgia,outlets,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S011,103528,georgia,stores,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S012,102110,georgia,warehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S013,99136,georgia,web,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S014,100656,georgia,wholesale,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S015,98640,georgia,catalog,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S016,103930,georgia,liqwarehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S017,99501,georgia,catalog,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S018,108301,georgia,liqwarehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S019,99976,georgia,outlets,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S020,99061,georgia,stores,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S021,102189,florida,warehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S022,107530,florida,web,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S023,104425,florida,wholesale,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S024,100250,florida,catalog,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S025,104542,florida,liqwarehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S026,100387,florida,outlets,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S027,103542,florida,stores,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S028,97408,florida,warehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S029,106393,florida,web,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S030,108454,florida,wholesale,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S031,96708,florida,catalog,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S032,103263,florida,liqwarehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S033,100954,florida,catalog,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S034,94096,florida,liqwarehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S035,99927,florida,outlets,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S036,101116,florida,stores,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S037,102700,florida,warehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S038,99608,florida,web,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S039,99360,florida,wholesale,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S040,100659,florida,catalog,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S041,98034,california,liqwarehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S042,100952,california,outlets,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S043,104056,california,stores,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S044,103702,california,warehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S045,103154,california,web,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S046,94482,california,wholesale,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S047,95380,california,catalog,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S048,95436,california,liqwarehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S049,105713,california,catalog,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S050,98835,california,liqwarehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S051,104196,california,outlets,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S052,105358,california,stores,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S053,106273,california,warehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S054,103386,california,web,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S055,107404,california,wholesale,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S056,102893,california,catalog,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S057,100733,california,liqwarehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S058,97985,california,outlets,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S059,98791,california,stores,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S060,101247,california,warehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S061,104290,minnesota,web,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S062,105929,minnesota,wholesale,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S063,104127,minnesota,catalog,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S064,98561,minnesota,liqwarehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S065,105846,minnesota,catalog,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S066,103117,minnesota,liqwarehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S067,102014,minnesota,outlets,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S068,104374,minnesota,stores,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S069,106350,minnesota,warehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S070,103179,minnesota,web,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S071,92245,minnesota,wholesale,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S072,102799,minnesota,catalog,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S073,108129,minnesota,liqwarehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S074,109290,minnesota,outlets,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S075,101944,minnesota,stores,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S076,99696,minnesota,warehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S077,102291,minnesota,web,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S078,103363,minnesota,wholesale,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S079,102929,minnesota,catalog,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ac21,S080,107732,minnesota,liqwarehouse,US,a1c4,a348,ws2515,w14,csj14,fshon,retailer
ad54,S001,101502,georgia,catalog,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S002,104319,georgia,liqwarehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S003,99632,georgia,outlets,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S004,95223,georgia,stores,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S005,103417,georgia,warehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S006,107478,georgia,web,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S007,99111,georgia,wholesale,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S008,103805,georgia,catalog,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S009,103231,georgia,liqwarehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S010,104050,georgia,outlets,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S011,98223,georgia,stores,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S012,99625,georgia,warehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S013,97599,georgia,web,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S014,102754,georgia,wholesale,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S015,103198,georgia,catalog,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S016,101559,georgia,liqwarehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S017,102504,georgia,catalog,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S018,99758,georgia,liqwarehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S019,98917,georgia,outlets,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S020,93098,georgia,stores,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S021,101179,florida,warehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S022,107898,florida,web,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S023,103379,florida,wholesale,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S024,103672,florida,catalog,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S025,97798,florida,liqwarehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S026,102254,florida,outlets,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S027,100316,florida,stores,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S028,107994,florida,warehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S029,100130,florida,web,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S030,109893,florida,wholesale,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S031,97024,florida,catalog,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S032,94096,florida,liqwarehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S033,100969,florida,catalog,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S034,110849,florida,liqwarehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S035,110566,florida,outlets,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S036,102976,florida,stores,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S037,103357,florida,warehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S038,103428,florida,web,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S039,105661,florida,wholesale,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S040,103478,florida,catalog,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S041,108919,california,liqwarehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S042,99870,california,outlets,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S043,103241,california,stores,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S044,106377,california,warehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S045,101226,california,web,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S046,102259,california,wholesale,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S047,97854,california,catalog,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S048,109556,california,liqwarehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S049,106376,california,catalog,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S050,98316,california,liqwarehouse,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
ad54,S051,98703,california,outlets,US,a6n2,a698,cd65,c64,ec809,hardlines,retailer
